"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
1;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:01:18";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
2;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:02:06";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
3;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:10:04";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
4;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:10:05";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
5;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:10:48";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
6;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:26:05";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
7;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:28:39";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
8;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:28:51";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
9;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
10;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
11;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
12;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
13;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
