"entry_id";"configuration_resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"error_message";"event_date";"current_state";"aggeregated_failure_count";"failure_repetition";"error_rating";"dependency_factor"
1;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:01:18";"0";0;0;1;3
2;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:02:06";"0";1;1;1;3
3;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:10:04";"0";2;0;1;3
4;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:10:05";"0";3;1;1;3
5;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:10:48";"0";4;2;1;3
6;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:26:05";"0";5;0;1;3
7;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:28:39";"0";6;0;1;3
8;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:28:51";"0";7;1;1;3
9;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
10;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
11;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
12;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
13;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
14;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
15;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
